ID,Número da OPD,Atividade,Responsável,PREVISÃO DE INÍCIO,Data do pedido,Data de início,Data de término,cadastro_opd,Status,Status,Tempo médio,Observações,Created,Updated
872,3212025,ENTREGAR OF'S/LISTAS PARA ALMOX,PCP,2025-10-12,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:12.681Z,2025-09-29T17:49:12.681Z
871,3212025,PROGRAMAÇÃO DE CORTE,PCP,2025-10-11,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:12.399Z,2025-09-29T17:49:12.399Z
870,3212025,IMPRIMIR OF/ETIQUETA,PCP,2025-10-10,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:12.165Z,2025-09-29T17:49:12.165Z
869,3212025,ASSINATURA DOS PLANOS DE CORTE,ENGENHARIA,2025-10-09,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:11.838Z,2025-09-29T17:49:11.838Z
868,3212025,IMPRIMIR LISTAS E PLANOS,PCP,2025-10-09,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:11.579Z,2025-09-29T17:49:11.579Z
867,3212025,RESERVAS DE COMP/FAB,PCP,2025-10-08,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:11.351Z,2025-09-29T17:49:11.351Z
866,3212025,PROGRAMAÇÃO DAS LINHAS,PCP,2025-10-07,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:11.074Z,2025-09-29T17:49:11.074Z
865,3212025,REUNIÃO DE START 2,PCP,2025-10-06,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:10.684Z,2025-09-29T17:49:10.684Z
864,3212025,REVISÃO FINAL DE PROJETOS,PCP,2025-10-05,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:10.271Z,2025-09-29T17:49:10.271Z
863,3212025,ENGENHARIA (ELE/HID),ENGENHARIA (ELE/HID),2025-10-04,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:49:10.015Z,2025-09-29T17:49:10.015Z
862,3212025,ENGENHARIA (MEC),ENGENHARIA (MEC),2025-10-04,2025-09-19,2025-09-29,,,EM ANDAMENTO,3,,,2025-09-29T17:49:09.785Z,2025-09-29T19:26:41.160Z
861,3212025,REUNIÃO DE START 1,PCP,2025-09-25,2025-09-19,2025-09-22,2025-09-22,,CONCLUÍDA,1,0.7555555555554747,,2025-09-29T17:49:09.544Z,2025-09-29T17:54:20.807Z
860,3212025,DEFINIÇÃO DA OBRA CIVIL,PCP,2025-09-22,2025-09-19,2025-09-19,,,EM ANDAMENTO,3,,,2025-09-29T17:49:09.296Z,2025-09-29T17:54:05.399Z
859,3212025,CRIAÇÃO DA OPD,PCP,2025-09-21,2025-09-19,2025-09-19,2025-09-19,,CONCLUÍDA,1,0.7555555555554747,0,2025-09-29T17:49:09.032Z,2025-09-29T17:53:58.445Z
858,3212025,LIBERAÇÃO FINANCEIRA,FINANCEIRO,2025-09-20,2025-09-19,2025-09-19,2025-09-19,,CONCLUÍDA,1,0.7555555555554747,0,2025-09-29T17:49:08.671Z,2025-09-29T17:53:45.822Z
857,3192025,ENTREGAR OF'S/LISTAS PARA ALMOX,PCP,2025-10-12,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:49.812Z,2025-09-29T17:48:49.812Z
856,3192025,PROGRAMAÇÃO DE CORTE,PCP,2025-10-11,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:49.617Z,2025-09-29T17:48:49.617Z
855,3192025,IMPRIMIR OF/ETIQUETA,PCP,2025-10-10,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:49.406Z,2025-09-29T17:48:49.406Z
854,3192025,ASSINATURA DOS PLANOS DE CORTE,ENGENHARIA,2025-10-09,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:49.196Z,2025-09-29T17:48:49.196Z
853,3192025,IMPRIMIR LISTAS E PLANOS,PCP,2025-10-09,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:48.980Z,2025-09-29T17:48:48.980Z
852,3192025,RESERVAS DE COMP/FAB,PCP,2025-10-08,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:48.782Z,2025-09-29T17:48:48.782Z
851,3192025,PROGRAMAÇÃO DAS LINHAS,PCP,2025-10-07,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:48.576Z,2025-09-29T17:48:48.576Z
850,3192025,REUNIÃO DE START 2,PCP,2025-10-06,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:48.373Z,2025-09-29T17:48:48.373Z
849,3192025,REVISÃO FINAL DE PROJETOS,PCP,2025-10-05,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:48.152Z,2025-09-29T17:48:48.152Z
848,3192025,ENGENHARIA (ELE/HID),ENGENHARIA (ELE/HID),2025-10-04,2025-09-19,,,,A REALIZAR,,,,2025-09-29T17:48:47.944Z,2025-09-29T17:48:47.944Z
847,3192025,ENGENHARIA (MEC),ENGENHARIA (MEC),2025-10-04,2025-09-19,2025-09-29,,,EM ANDAMENTO,3,,,2025-09-29T17:48:47.721Z,2025-09-29T19:26:31.178Z
846,3192025,REUNIÃO DE START 1,PCP,2025-09-25,2025-09-19,2025-09-22,2025-09-22,,CONCLUÍDA,1,0.7555555555554747,,2025-09-29T17:48:47.520Z,2025-09-29T17:52:58.948Z
845,3192025,DEFINIÇÃO DA OBRA CIVIL,PCP,2025-09-22,2025-09-19,2025-09-19,,,EM ANDAMENTO,3,,,2025-09-29T17:48:47.254Z,2025-09-29T17:52:36.832Z
844,3192025,CRIAÇÃO DA OPD,PCP,2025-09-21,2025-09-19,2025-09-19,2025-09-19,,CONCLUÍDA,1,0.7555555555554747,0,2025-09-29T17:48:47.023Z,2025-09-29T17:52:29.265Z
843,3192025,LIBERAÇÃO FINANCEIRA,FINANCEIRO,2025-09-20,2025-09-19,2025-09-19,2025-09-19,,CONCLUÍDA,1,0.7555555555554747,0,2025-09-29T17:48:46.716Z,2025-09-29T17:52:13.865Z
